產品編號,產品名,品牌
P000003423,"手製薯片 - 海鹽配方 5安士 142克","Kettle Brand"
P000003425,"火辣味波浪薯片 184.2克","Ruffles"
P000003437,"輕怡七喜碳酸飲料 - 罐裝 330毫升 x 8","七喜"
P000003438,"加系可樂膳食纖維 (無糖) - 樽裝 500毫升","可口可樂"
P000003445,"零系玉泉忌廉味汽水 - 罐裝 330毫升 x 8","玉泉"
P000003449,"粒粒蘋果飲品 400毫升","Pokka Sapporo"
P000003450,"In 能量果凍飲品 (白葡萄) 180克","威德"
P000003452,"防曬露 SPF50 150毫升","施巴"
P000003455,"極防水輕爽低敏 UV 乳液 SPF50+ PA++++ 60毫升","Anessa"
P000003466,"超薄緊貼裝衛生套 10個","杜蕾斯"
P000003469,"0.01 水性聚氨脂安全套 4個","岡本"
P000003472,"出前一丁通心寶 - 海鮮鮑魚湯味通心粉 90克","日清"
P000003476,"3D 一次性成人護理口罩 - 大碼 20個","便利妥"
P000003486,"曲奇忌廉雪糕批 80毫升 x 4","雀巢"
P000003487,"澳洲走地鮮雞蛋 6隻","Sunny Queen"
P000003491,"可可脆片 Koko Krunch 330克","雀巢"
P000003492,"東莞米粉 454克","孔雀牌"
P000003496,"清雞湯 500毫升","史雲生"
P000003498,"藍苺比高 11.5安士 326克","Forever"
P000003499,"馬蘇里拉芝士薄餅 335克","Dr. Oetker"
P000003503,"卡邦尼蘑菇意粉醬 295克 10.4安士","金寶"
P000003506,"2合1白咖啡 -  咖啡+奶精 25克 x 10","舊街場"
P000003507,"純水嬰兒濕紙巾 30片 x 3","金佰利 好奇"
P000003509,"去屑洗髮露 (止癢呵護) 680克","海倫仙度絲"
P000003512,"維他命E深層滋潤洗髲露 900毫升","TRESemme"
P000003518,"豆腐花 229毫升","百福"
P000003521,"粟米粒 410克","特別好"
P000003539,"丹麥必然芝士 125克","Castello"
P000003553,"罐裝貓糧 - 吞拿三文魚 (湯汁) 85克","Sheba"
P000003554,"鮮饌包 - 鮪魚 (吞拿魚) 及鯛魚口味 70克","Sheba"
P000003556,"罐裝貓糧 - 雞肉蟹柳 85克","CIAO"
P000003569,"眼唇二合一卸妝液 150毫升","Maybelline"
P000003570,"溫和眼唇卸妝液 125毫升","L'Oreal Paris"
P000003573,"高效眼唇卸妝液 130毫升","碧柔"
P000003576,"水感舒緩無油卸妝水 400毫升","Bio-Essence"
P000003589,"粟米油 900毫升 x 3","金御膳"
P000003624,"嬰兒潤膚霜 (有機金盞花) 400毫升","舒特膚"
P000003627,"嬰兒潤膚乳霜 350毫升","Oilatum"
P000003628,"嬰兒潤膚乳 120毫升","Pigeon"
P000003633,"保濕滋潤霜 200毫升","Bioderma"
P000003634,"金盞花潤膚乳液 251毫升","California Baby"
P000003636,"意大利粉 500克","Waitrose"
P000003642,"有機燕麥粉 227克","嘉寶"
P000003647,"黑白配 (朱古力捲香草味) 60克","旺旺"
P000003658,"牧場牛乳餅乾 172克","江戶"
P000003661,"魚仔餅 - 烤雞口味 33克","東洋牌"
P000003669,"軟包紙巾 (150組 x 2層) 5包裝","Topvalu Bestprice"
P000003670,"牛油  - 有鹽 195克","Meadows"
P000003672,"脆烤花生 100克","Meadows"
P000003673,"脆焗原粒杏仁 100克","Meadows"
P000003675,"紅莓乾 170克","Meadows"
P000003676,"克力架 424克","Meadows"
P000003678,"原味薯片 60克","Meadows"
P000003682,"花生醬 - 幼滑裝 340克","Meadows"
P000003685,"餐桌鹽 454克","Meadows"
P000003687,"白砂糖 400克","Meadows"
P000003688,"梳打餅 - 芝麻 205克","Meadows"
P000003690,"蒸餾水 550毫升","Meadows"
P000003691,"原粒磨菇 425克","Meadows"
P000003693,"茄汁焗豆 390克","Meadows"
P000003694,"菠蘿片 836克","Meadows"
P000003695,"全脂鮮牛奶 1公升","Meadows"
P000003706,"無鹽焗合桃 120克","滋味"
P000003741,"鼻寧定量噴劑 30毫升","佐滕製藥"
P000003764,"頂級泰國茉莉香米 8公斤","御品皇"
P000003765,"健康三色米 5公斤","御品皇"
P000003766,"紅米 2公斤","御品皇"
P000003767,"糯米 2公斤","御品皇"
P000003769,"優質泰國茉莉香米 5公斤","御品皇"
P000003771,"優質泰國茉莉香米 2公斤","御品皇"
P000003772,"純正粟米油 5公升","御品皇"
P000003773,"純正芥花籽油 900毫升 X 3","御品皇"
P000003774,"純正粟米油 900毫升 x 3","御品皇"
P000003776,"純正芥花籽油 1.8公升","御品皇"
P000003777,"純正粟米油 1.8公升","御品皇"
P000003780,"純正芥花籽油 700毫升","御品皇"
P000003803,"奶皇包 3件","御品皇"
P000003805,"白菜豬肉水餃 540克","御品皇"
P000003806,"蝦餃 8件","御品皇"
P000003807,"蝦肉燒賣 10件","御品皇"
P000003810,"叉燒包 3件","御品皇"
P000003811,"菜肉包 3件","御品皇"
P000003821,"橄欖油浸吞拿魚塊 95克","Meadows"
P000003824,"礦泉水浸吞拿魚塊 95克","Meadows"
P000003825,"礦泉水浸吞拿魚片185克","Meadows"
P000003826,"鹽水浸吞拿塊 185克","Meadows"
P000003827,"礦泉水浸吞拿魚塊 185克","Meadows"
P000003829,"橄欖油浸吞拿魚塊 185克","Meadows"
P000003835,"菠蘿片 227克","Meadows"
P000003836,"花生味威化 200克","Meadows"
P000003838,"奶鹽梳打 205克","Meadows"
P000003839,"朱古力味威化 200克","Meadows"
P000003840,"檸檬味麥芽夾心餅 350克","Meadows"
P000003841,"麥芽酥餅 350克","Meadows"
P000003843,"三文治方麥包 8片","Meadows"
P000003850,"即食燕麥片 800克","Meadows"
P000003857,"三層印花衛生紙 10卷","Meadows Home"
P000003861,"廚房紙 6卷","Meadows Home"
P000003862,"廚房紙 4卷","Meadows Home"
P000003868,"梳打水 6X320毫升","Meadows"
P000003876,"錫蘭紅茶 100包","Meadows"
P000003877,"錫蘭紅茶 25包","Meadows"
P000003879,"全脂奶 (常溫) 1公升","Meadows"
P000003880,"高鈣低脂奶 (常溫) 1公升","Meadows"
P000003881,"脫脂奶 (常溫) 1公升","Meadows"
P000003882,"高鈣低脂鮮牛奶飲品 1公升","Meadows"
P000003884,"蒸餾水 1.5公升","Meadows"
P000003885,"蒸餾水 5.5公升","Meadows"
P000003888,"雲尼嗱味雪糕 1公升","Meadows"
P000003889,"奶油曲奇雪糕 1公升","Meadows"
P000003890,"朱古力味雪糕 1公升","Meadows"
P000003892,"千島醬 305克","Meadows"
P000003897,"傳統意粉醬 340克","Meadows"
P000003899,"傳統意粉醬 670克","Meadows"
P000003905,"意大利粉N5 500克","Meadows"
P000003918,"芝士粟米片 198 GM","Meadows"
P000003919,"燒烤味薯片 60克","Meadows"
P000003924,"鮮橙汁 1.89 LT","Meadows Essent"
P000003925,"益生菌飲品 5支裝 63毫升","Meadows"
P000003931,"泰國多營米 5公斤","金御膳"
P000003946,"美國A級新鮮啡蛋(特大) 12隻","佳之選"
P000003972,"芝麻梳打餅 180克","佳之選"
P000003987,"即食燕麥片 1千克","佳之選"
P000003991,"熱帶雜果 850克","佳之選"
P000004016,"即溶咖啡 500克","佳之選"
P000004029,"三合一奶茶 20包 330克","佳之選"
P000004037,"通心粉 1千克","超值牌"
P000004039,"漂白水 1.5公升","佳之選"
P000004046,"白蛋 10隻","新紀元"
P000004050,"純正粟米油 700毫升","御品皇"
P000004051,"純正芥花籽油 5公升","御品皇"
P000004052,"葡萄籽油 1公升","Meadows"
P000004053,"初榨橄欖油 1 公升","Meadows"
P000004054,"清淡橄欖油 1公升","Meadows"
P000004055,"橄欖果渣油 1公升","Meadows"
P000004062,"芝麻梳打餅 350克","Meadows"
P000004067,"澳州天然蜜糖 400克","Meadows"
P000004068,"經典純白盒裝面紙 5盒","Meadows Home"
P000004069,"法國礦泉水 6 X 1.5公升","Meadows"
P000004077,"粗鹽 454克","Meadows"
P000004100,"巴西雞中翼 1包 2磅 (907克)","佳之選"
P000004102,"芝士味雞尾腸 400克","佳之選"
P000004103,"密實袋 (大) 40個","佳之選"
P000004117,"嬰兒有機米餅 (紅薯) 20克","Bebefood"
P000004120,"有機波波米藍莓 38克","寶寶百味"
P000004121,"桃星星餅 1.48安士 42克","嘉寶"
P000004125,"原味小饅頭 15克 x 4","BeanStalk"
P000004134,"刀削式扁麵 200克 X3","佳之選"
P000004137,"烏拉圭牛尾 454克","佳之選"
P000004142,"過橋米線 200克X3","佳之選"
P000004148,"全蛋麵 454克","佳之選"
P000004155,"日式拉麵 160克X3","佳之選"
P000004167,"保鮮紙(二百呎) 200FT","佳之選"
P000004177,"幼滑花生醬 510GM","Meadows"
P000004179,"朱古力紐紋花生醬 340克","Meadows"
P000004180,"澳洲天然蜜糖 1 KG","Meadows"
P000004212,"甘栗 100克","Meadows"
P000004213,"脆烤開心果-樽裝 330克","Meadows"
P000004215,"脆烤腰果-樽裝 370克","Meadows"
P000004216,"雜錦果仁 80克","Meadows"
P000004218,"脆烤核桃 100克","Meadows"
P000004219,"朱古力威化卷 700克","Meadows"
P000004221,"黑朱古力 190克","Meadows"
P000004222,"烤焗腰果 40克","Meadows"
P000004224,"青豆 80克","Meadows"
P000004226,"海苔梳打 205克","Meadows"
P000004227,"燕麥梳打 205克","Meadows"
P000004228,"香蔥梳打 205克","Meadows"
P000004232,"美國加州葡萄乾 500克","Meadows"
P000004236,"棗泥核桃 100克","Meadows"
P000004239,"洋蔥忌廉味薯片 60克","Meadows"
P000004246,"松露味薯片 60克","Meadows"
P000004248,"蜜糖脆烤原粒果仁 100克","Meadows"
P000004253,"松露味薯片 25克","Meadows"
P000004255,"黑松露味薯條 100克","Meadows"
P000004266,"朱古力香蕉味薄脆 90克","Meadows"
P000004272,"原味薯片 25克","Meadows"
P000004274,"燒烤味薯片 25克","Meadows"
P000004282,"朱古力棒 4 PC","Meadows"
P000004299,"甘菊葉茶包 20包","Meadows"
P000004301,"薄荷葉茶包 20包","Meadows"
P000004307,"黃糖 1千克","Meadows"
P000004310,"白砂糖 2千克","Meadows"
P000004312,"白砂糖 800克","Meadows"
P000004317,"菠蘿粒 227克","Meadows"
P000004318,"即磨混合胡椒粒 45克","Meadows"
P000004319,"意大利調味粉 19克","Meadows"
P000004321,"香草醬 190克","Meadows"
P000004322,"素肉意粉醬 670克","Meadows"
P000004325,"凱撒沙律醬 305克","Meadows"
P000004326,"自發粉 800克","Meadows"
P000004333,"奧勒岡 11克","Meadows"
P000004334,"紅胡椒碎 34克","Meadows"
P000004335,"百里香 21克","Meadows"
P000004336,"原粒鮮草菇 425克","Meadows"
P000004345,"荷蘭有枝車厘茄 250 GM","Meadows"
P000004357,"原粒香菇 425 GM","Meadows"
P000004364,"碎片鮮草菇 425克","Meadows"
P000004365,"原粒磨菇 425克","Meadows"
P000004366,"原粒磨菇 184克","Meadows"
P000004367,"切片磨菇 184克","Meadows"
P000004368,"切片磨菇 425克","Meadows"
P000004391,"健康三色米 2公斤","御品皇"
P000004392,"廣東米酒 560毫升","御品皇"
P000004409,"鮑汁海螺片 425克","御品皇"
P000004410,"急凍雜菜 500克","Meadows"
P000004414,"蠔皇海螺片 425克","御品皇"
P000004419,"牛筋丸 170克","御品皇"
P000004421,"急凍原隻特大虎蝦 (asc) 300克","Meadows"
P000004422,"墨魚丸 170克","御品皇"
P000004424,"香菇貢丸 170克","御品皇"
P000004425,"雞包仔 3個","御品皇"
P000004428,"原味烙餅 325克","Meadows"
P000004432,"薄荷朱古力曲奇雪榚 1公升","Meadows"
P000004434,"糯米包 3個","御品皇"
P000004436,"香菇豬肉燒賣 550克","御品皇"
P000004439,"炸魚丸 170克","御品皇"
P000004457,"壓紋食物袋 (大) 100個","Meadows Home"
P000004459,"三摺式抹手紙三包裝 250張X3","佳之選"
P000004466,"保鮮紙 300呎","Meadows Home"
P000004484,"衛生護墊孖裝 50片 x 2","特惠牌"
P000004486,"活性炭吸濕器3個優惠裝 720 ML","MEADOWS HOME"
P000004493,"消毒藥水 1.2公升","MEADOWS HOME"
P000004494,"洗潔精 (檸檬) 1.3公升","MEADOWS HOME"
P000004496,"微波爐保鮮紙 100呎","Meadows Home"
P000004504,"卡通迷你紙巾 12包","MEADOWS HOME"
P000004508,"超濃縮洗潔精 (檸檬) 500毫升","MEADOWS HOME"
P000004511,"超濃縮洗潔精 (青檸) 500毫升","MEADOWS HOME"
P000004516,"地板清潔劑 (薰衣草) 2公升","Meadows Home"
P000004517,"玻璃清潔劑 500毫升","Meadows Home"
P000004521,"萬用去污乳 (檸檬) 500毫升","Meadows Home"
P000004524,"三摺式抹手紙 250張","Meadows Home"
P000004525,"萬用去污乳 (清新) 500毫升","Meadows Home"
P000004603,"農夫中國冰鮮清遠雞 1PC","農夫"
P000004615,"青蘋果味洗潔精 2公升","超值牌"
P000004632,"紅燒瑤柱鮑魚 (四隻裝) 180克","金御膳"
P000004633,"蠔皇鮑魚 (四隻裝) 180克","金御膳"
P000004663,"急凍溝槽香螺 (美國螺頭) 400克","金御膳"
P000004724,"快熟燕麥片 1KG+200G","佳之選"
P000004767,"紫菜 3'S X 5G","佳之選"
P000004768,"泡菜岩海苔 3'S X 5G","佳之選"
P000004769,"芥末岩海苔 3'S X 5G","佳之選"
P000004780,"無鹽腰果 250克","佳之選"
P000004816,"泡菜 1千克","佳之選"
P000004828,"日本白蛋 10隻","福稻亭"
P000004844,"有機妊娠防紋油 (不含香料) 105毫升","Mustela"
P000004846,"妊娠防紋膏 (清香配方) 150毫升","Mustela"
P000004848,"高效除紋按摩膏 125克","美國雅兒"
P000004851,"3 心美力 5 HMO 幼兒助長配方奶粉 850克","雅培"
P000004855,"無鹽牛油 200克","Ambassador"
P000004857,"特級植物牛油 320克","雪印"
P000004862,"牙火清 清火護齦牙膏 (冰爽薄荷) 95克","片仔癀"
P000004872,"3倍精煉魚油 80粒","維柏健"
P000004874,"三文魚油丸 210粒","增美神"
P000004875,"增強版強腦素 60粒","日本命力"
P000004876,"無腥味高濃度野生魚油 200粒","Swisse"
P000004898,"深層卸妝潔膚水 500毫升","Bioderma"
P000004899,"多用途消毒濕紙巾 (檸檬味) 84片","威露士"
P000004909,"熬雞精 42毫升 x 14","老協珍"
P000004910,"原味滴雞精 60克 x 6","余仁生"
P000004911,"極上養生滴雞精 60毫升 x 6","御藥堂"
P000004912,"十六度超特濃熬雞精 60克 x 6","馬百良"
P000004916,"泰國新鮮雞蛋 - 大 (L) 10隻","正大"
P000004917,"泰國新鮮雞蛋 - 加大 (XL) 10隻","正大"
P000004922,"活力褲 - 日用型 (大至加大碼) 8片","包大人"
P000004927,"泡菜 (白菜) 400克","珍味"
P000004934,"超透氣紙尿片(初生) 76片","Moony"
P000004935,"超透氣紙尿片(細碼) 70片","Moony"
P000004937,"超透氣紙尿片(大碼) 54片","Moony"
P000004944,"極品醇香黑芝麻油 150毫升","淘大"
P000004950,"益生元．菌固體飲品 14包","Naturo Vita"
P000004951,"益生菌 (合生原) 250億高效成人配方 30粒","Proven"
P000004957,"冬蔭功麵 (酸辣蝦湯麵) 70克 x 5","養養"
P000004960,"芝士拉麵 111克 x 4","不倒翁"
P000004961,"牛骨湯麵 102克 x 5","八道"
P000004968,"啤酒 500毫升 x 4","雪花"
P000004976,"保濕眼霜 10毫升","Avene"
P000004988,"國產強力粉 1公斤","日本の台所"
P000004989,"強力小麥粉 1公斤","日清"
P000004999,"久咳丸 6樽裝","太和洞"
P000005005,"造型啫喱 (彈性曲髮) 200毫升","樂絲朵-L"
P000005007,"持久啫喱膏 (濕硬) 225克","Mandom"
P000005008,"定型啫喱膏 (濕硬) 200克","Gatsby"
P000005010,"五蜈蚣標止咳丸 3克 x 12","沈天河"
P000005012,"胃散 60克","蜆殼"
P000005015,"蜈蚣蠍子蛇王標活絡油 45毫升","金波士"
P000005016,"清新安美露 特效消炎鎭痛藥液 80毫升","小林製藥"
P000005020,"萬金油 (白色) 19.4克","虎標"
P000005021,"萬金油 (紅色) 30克","虎標"
P000005022,"白花油 1號 20毫升","和興"
P000005025,"精裝七星茶顆粒沖劑 10克 x 20","衍生"
P000005033,"肌快適嬰兒紙尿褲 (加加大碼) 28片","大王"
P000005036,"冰感防曬乳液 SPF50 PA++++ 75亳升","妮維雅"
P000005037,"持采 UV 高效防曬水凝乳 SPF50+ PA++++ 90克","Allie"
P000005043,"特級柔韌4層衛生紙 12卷","Meadows Home"
P000005047,"柔亮去屑止癢洗髮乳 750克","麗仕"
P000005050,"韓蔘滋養防脫髮洗髮液 (去屑止癢適用) 400毫升","呂"
P000005052,"去頭屑保濕洗髮露 700毫升","花王"
P000005054,"濕廁紙 40片 x 3","屈臣氏"
P000005057,"濕廁紙 40片 x 3","Pure by Meadows"
P000005064,"去屑洗髮露 (舒癢水潤) 680克","海倫仙度絲"
P000005068,"非籠養雞蛋 (大) 10隻","Meadows"
P000005074,"酸忌廉洋蔥味薯片(筒裝) 130克","Meadows"
P000005075,"松露味薯片(筒裝) 130克","Meadows"
P000005077,"(每個) (101378087)","西蘭花"
P000005078,"(1公斤) (101375509)","洋蔥"
P000005079,"(每個) (102127176)","中國富士蘋果"
P000005080,"珍寶 (每個) (102127171)","中國富士蘋果"
P000005081,"袋裝 1.8磅 (113291944)","嘉拿蘋果"
P000005085,"(每個) (101373851)","檸檬"
P000005086,"珍寶金奇異果 (每個) (101362854)","Zespri Gold"
P000005087,"蛋黃醬 420克","Meadows"
P000005091,"金裝奶茶 16.5克 x 20","Meadows"
P000005092,"Super Moist 蛋糕粉 - 朱古力軟蛋糕 13.25安士 375克","美國貝蒂"
P000005097,"100%椰青水 1公升","Meadows"
P000005098,"100%椰青水 500毫升","Meadows"
P000005100,"柏齡健心三清高高鈣較低脂奶粉 750克","雀巢三花"
P000005104,"急凍鯰魚柳 (asc) [越南] 240 克","純魚"
P000005108,"阿根廷紅蝦肉 200克","急凍阿根廷紅蝦肉"
P000005109,"急凍南美白蝦仁 (bap) 170克","Sunrise Bay"
P000005117,"深層淨化柔滑去角質露 150克","露得清"
P000005120,"柔滑磨砂洗面膏 100克","碧柔"
P000005128,"超濃縮抗菌柔順洗衣粉(幸福花語) 2.25公斤","Meadows"
P000005130,"超濃縮全效抗菌柔順洗衣液 3公升","Meadows"
P000005131,"超濃縮抗菌潔淨洗衣液 - 庭園花香 3公升","Meadows"
P000005133,"地板清潔劑 (檸檬清香) 2公升","Meadows"
P000005135,"雙重鎖緊密實袋 (中碼) 50個","Meadows"
P000005140,"乳液修護洗髮露 650克","潘婷"
P000005141,"強韌防斷洗髮露 650克","潘婷"
P000005149,"薄荷微蠟牙線 50米","Mannings Guardian"
P000005150,"超細滑護齦牙線 (薄荷) 50米","屈臣氏"
P000005154,"鑽.耀白牙刷 1支","好來"
P000005156,"極密潔淨牙刷 (標準寬頭+軟毛) 1支","適齒美"
P000005157,"極薄防蛀牙刷 (超細刷頭) 3支","適齒美"
P000005162,"B150 黑炭電動牙刷 1支","高露潔"
P000005165,"熊抱安睡褲 (M碼) 4片","護舒寶"
P000005166,"熊抱安睡褲 (M碼) 4片 x 2","護舒寶"
P000005167,"熊抱安睡褲 (L碼) 4片","護舒寶"
P000005168,"熊抱安睡褲 (L碼) 4片 x 2","護舒寶"
P000005169,"熊抱安睡褲 (XL碼) 4片","護舒寶"
P000005170,"熊抱安睡褲 (XL碼) 8片","護舒寶"
P000005171,"無痕奢柔褲 (M-L碼) 3片","護舒寶"
P000005172,"無痕奢柔褲 (XL碼) 3片","護舒寶"
P000005173,"Air-Dry 雲枕瞬吸日用衛生巾 24厘米 10片","護舒寶"
P000005174,"Air-Dry 雲枕瞬吸日用量大衛生巾 28厘米 10片","護舒寶"
P000005175,"Air-Dry 雲枕瞬吸日用量大加長衛生巾 32厘米 8片","護舒寶"
P000005176,"Air-Dry Fresh 草本健康日用衛生巾 24厘米 10片","護舒寶"
P000005177,"Air-Dry Fresh 草本健康日用量大衛生巾 28厘米 10片","護舒寶"
P000005178,"Air-Dry Fresh 草本健康日用量大加長衛生巾 32厘米 8片","護舒寶"
P000005179,"安心熟睡褲 (S-M) 3片","高潔絲"
P000005180,"安心熟睡褲 (M-L) 3片","高潔絲"
P000005181,"草本抑菌特長透氣護墊 17.5厘米 44片","高潔絲"
P000005182,"極緻綿柔特長透氣護墊 17.5厘米 20片","高潔絲"
P000005183,"好自在 Air-Dry 雲枕護墊 16.3厘米 22片","護舒寶"
P000005184,"好自在 Air-Dry Fresh 純棉護墊 16.3厘米 22片","護舒寶"
P000005185,"柔滑型衛生棉條 (特多流量) 16片","倍得適"
P000005186,"柔滑型衛生棉條 (一般流量) 16片","倍得適"
P000005187,"棉條 (普通流量) 16支","丹碧絲"
P000005188,"棉條 (大流量型) 16支","丹碧絲"
P000005190,"男士去屑洗髮乳 (清爽控油) 750克","淨"
P000005191,"女士去屑洗髮乳 (多效水護) 750克","淨"
P000005192,"山茶花煥活水潤修護洗髮露 450毫升","Tsubaki"
P000005193,"植物與咖啡因洗髮露 (染燙及受損頭髮) 250毫升","Plantur 39"
P000005194,"養潤豐盈洗髮露 (舒壓型) 400毫升","50惠"
P000005196,"乳液修護潤髮精華素 650克","潘婷"
P000005197,"頂級東北大米 3公斤","金滿堂"
P000005199,"高級泰國香米 8公斤","月稻"
P000005201,"泰國頂級香糙米 1.5公斤","金鳳 (聚大行)"
P000005204,"特級茉莉香米 5公斤","五豐牌"
P000005208,"香稻絲苗 3公斤","超力"
P000005209,"橄欖油 2公升","Meadows"
P000005211,"純正花生油 600毫升","駱駝嘜"
P000005212,"零反高健純正花生油 900毫升 x 3","刀嘜"
P000005213,"粵饌純正花生油 900毫升 x 3","獅球嘜"
P000005215,"花生特級食油 900毫升","駱駝嘜"
P000005216,"花生特級食油 5公升","駱駝嘜"
P000005220,"零反健康純正粟米油 600毫升","獅球嘜"
P000005223,"零反高健非基因改造醇正粟米油 900毫升 x 2","刀嘜"
P000005224,"芥花籽油 1公升","保得"
P000005225,"健康高油酸葵花籽油 (零克反式脂肪) 900毫升 x 3","獅球嘜"
P000005226,"意大利葡萄籽油 750毫升","樂家"
P000005227,"燕麥飯 200克","桂格"
P000005229,"黑毛豬午餐肉 200克","高雲"
P000005230,"火腿豬肉 198克","天龍牌"
P000005232,"午餐肉 (7安士) 198克","荷美爾"
P000005233,"減納午餐肉 340克","三花牌"
P000005234,"午餐肉 198克","御品皇"
P000005235,"午餐肉 397克","御品皇"
P000005236,"火腿豬肉 198克","御品皇"
P000005237,"火腿豬肉 340克","御品皇"
P000005238,"火腿餐肉 198克","金龍牌"
P000005239,"午餐肉 340克","三祖"
P000005240,"午餐肉 340克","明洞"
P000005241,"午餐肉 200克","東遠"
P000005242,"午餐肉 340克","東遠"
P000005243,"火腿午餐肉 340克","太興"
P000005244,"五香肉丁 142克","天龍牌"
P000005245,"五香肉丁 142克","金龍牌"
P000005246,"五香肉丁 142克","御品皇"
P000005247,"五香肉丁 142克","長城牌"
P000005248,"回鍋肉 198克","天龍牌"
P000005250,"日式照燒汁沙甸魚 100克","地捫"
P000005251,"日式辣油沙甸魚 100克","地捫"
P000005252,"日式茄汁沙甸魚 100克","地捫"
P000005254,"脫脂高鈣牛奶飲品 946毫升","維記"
P000005255,"高鈣脫脂牛奶 236毫升","明治"
P000005256,"頂級鮮牛奶 236毫升","明治"
P000005257,"無乳糖牛奶飲品 200毫升","明治"
P000005258,"100%鮮牛奶 946毫升","明治"
P000005259,"頂級鮮牛奶 946毫升","明治"
P000005260,"無乳糖牛奶飲品 946毫升","明治"
P000005261,"香蕉低脂牛奶飲品 236毫升","十字牌 十字奶"
P000005264,"芒果木瓜低脂牛奶飲品 236毫升","十字牌 十字奶"
P000005265,"高鈣脫脂牛奶飲品 236毫升","維他"
P000005266,"高鈣脫脂牛奶飲品 946毫升","維他"
P000005267,"朱古力牛奶飲品 946毫升","維他"
P000005268,"高鈣低脂朱古力牛奶飲品 236毫升","維他"
P000005269,"高鈣低脂朱古力牛奶飲品 946毫升","維他"
P000005270,"高鈣牛奶飲品 946毫升","維他"
P000005271,"高品質鮮牛奶 236毫升","每日鮮語"
P000005272,"高品質鮮牛奶 950毫升","每日鮮語"
P000005275,"雲呢拿雪糕 460毫升","Bulla"
P000005276,"朱古力雪糕 460毫升","Bulla"
P000005277,"芒果雪糕 1公升","Bulla"
P00001863,"整粒草菇 (精選級) 425克","億萬牌"
P00001864,"喼汁 150毫升","李派林"
